Regression Centroids: 4
Math Search Window (Bars): 3000
Visual EDT Window (Bars): 741
Observation Window (Bars): 736
Total 171 Crossings (n): 65
Timeframe (Sec): 900
Raw Slope (b): 0.20245
Regression Angle: 23.64
Anchored Y-Int: 4698.37419

[MODEL A; CROSSINGS]
Sample (n): 65
R-Square: 0.4778
MSE: 2763.4983
Var Ratio: 1.05
Skewness: -0.87
Kurtosis: 2.39

[MODEL B; CLOSE PRICE]
Sample (n): 736
R-Square: 0.4943
MSE: 2318.7389
Var Ratio: 2.13
Skewness: -0.79
Kurtosis: 2.57

timestamp	symbol	timeframe	close	CEN_0	CEN_1	CEN_2	CEN_3	CEN_4	CEN_5	CEN_6	CEN_7	CEN_8	CEN_9	CEN_10	CEN_11	Base_FL	EDT_1	EDT_2	EDT_3	EDT_4	EDT_5	EDT_6	EDT_7	EDT_8	horiz_high_map	horiz_low_map	ssa	ema_ssa	crossing
1774335601	XAUUSD	M15	4424.96	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4416.81592	4416.81592	0
1774336501	XAUUSD	M15	4412.51	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4413.55530	4415.18561	1
1774337401	XAUUSD	M15	4408.91	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4411.74850	4413.46706	0
1774338301	XAUUSD	M15	4417.89	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4410.52070	4411.99388	0
1774339201	XAUUSD	M15	4414.58	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4408.59410	4410.29399	0
1774340101	XAUUSD	M15	4396.70	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4406.52538	4408.40968	0
1774341001	XAUUSD	M15	4400.55	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4405.83718	4407.12343	0
1774341901	XAUUSD	M15	4412.06	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4406.18977	4406.65660	0
1774342801	XAUUSD	M15	4399.14	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4407.13616	4406.89638	1
1774343701	XAUUSD	M15	4407.31	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4409.52962	4408.21300	0
1774344601	XAUUSD	M15	4415.94	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4413.06967	4410.64133	0
1774345501	XAUUSD	M15	4426.37	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4417.41254	4414.02694	0
1774346401	XAUUSD	M15	4426.18	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4421.86809	4417.94751	0
1774347301	XAUUSD	M15	4422.37	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4426.03337	4421.99044	0
1774348201	XAUUSD	M15	4427.45	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4429.29671	4425.64358	0
1774349101	XAUUSD	M15	4438.66	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4430.77552	4428.20955	0
1774350001	XAUUSD	M15	4419.73	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783											4442.26000		4429.56416	4428.88685	0
1774350901	XAUUSD	M15	4413.39	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4425.87740	4427.38212	1
1774351801	XAUUSD	M15	4421.94	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4419.85430	4423.61821	0
1774352701	XAUUSD	M15	4408.20	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4411.55426	4417.58624	0
1774353601	XAUUSD	M15	4420.45	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4401.91498	4409.75061	0
1774354501	XAUUSD	M15	4402.56	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4391.65493	4400.70277	0
1774355401	XAUUSD	M15	4369.51	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4382.24692	4391.47484	0
1774356301	XAUUSD	M15	4378.94	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4375.32152	4383.39818	0
1774357201	XAUUSD	M15	4378.13	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4371.35268	4377.37543	0
1774358101	XAUUSD	M15	4357.70	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4370.78496	4374.08020	0
1774359001	XAUUSD	M15	4356.68	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4373.91718	4373.99869	0
1774359901	XAUUSD	M15	4381.79	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783												4351.70000	4380.24631	4377.12250	1
1774360801	XAUUSD	M15	4395.17	4717.79398	4695.24280	4518.59282	4596.05595	4755.40355	4792.76972	4769.97694	4716.33597	4718.85043	4531.36057	4556.93783													4388.51640	4382.81945	0
