Cherry_B_timestamp	Cherry_B_symbol	Cherry_B_timeframe	Cherry_B_close	Cherry_B_Base_FL	Cherry_B_UOEDT	Cherry_B_LOEDT	Cherry_B_horiz_high_map	Cherry_B_horiz_low_map	Cherry_B_ssa	Cherry_B_ema_ssa	Cherry_B_crossing
1777450310	XAUUSD	M15	4602.15						4603.99087	4603.99087	0
1777451210	XAUUSD	M15	4604.85						4603.32748	4603.65918	1
1777452110	XAUUSD	M15	4601.15				4607.77000		4601.66085	4602.66001	0
1777453010	XAUUSD	M15	4600.72						4599.54313	4601.10157	0
1777453910	XAUUSD	M15	4599.05						4596.84164	4598.97160	0
1777454810	XAUUSD	M15	4590.90						4593.60427	4596.28793	0
1777455710	XAUUSD	M15	4588.73						4590.30792	4593.29793	0
1777456610	XAUUSD	M15	4585.04						4586.97858	4590.13826	0
1777457510	XAUUSD	M15	4585.03						4583.71009	4586.92417	0
1777458410	XAUUSD	M15	4584.52						4580.45335	4583.68876	0
1777459310	XAUUSD	M15	4578.72						4577.25281	4580.47079	0
1777460210	XAUUSD	M15	4575.11						4574.38782	4577.42931	0
1777461110	XAUUSD	M15	4570.56						4572.02749	4574.72840	0
1777462010	XAUUSD	M15	4567.92						4570.30086	4572.51463	0
1777462910	XAUUSD	M15	4565.44						4569.17393	4570.84428	0
1777463810	XAUUSD	M15	4566.65						4568.51984	4569.68206	0
1777464710	XAUUSD	M15	4568.37						4568.08941	4568.88573	0
1777465610	XAUUSD	M15	4573.20						4567.64559	4568.26566	0
1777466510	XAUUSD	M15	4574.20						4566.98542	4567.62554	0
1777467410	XAUUSD	M15	4565.69						4566.12857	4566.87706	0
1777468310	XAUUSD	M15	4558.86						4565.37594	4566.12650	0
1777469210	XAUUSD	M15	4555.94						4564.99471	4565.56060	0
1777470110	XAUUSD	M15	4568.04						4565.12692	4565.34376	0
1777471010	XAUUSD	M15	4571.78						4565.58359	4565.46368	1
1777471910	XAUUSD	M15	4566.36						4566.25657	4565.86012	0
1777472810	XAUUSD	M15	4569.98						4567.10278	4566.48145	0
1777473710	XAUUSD	M15	4568.02						4567.81463	4567.14804	0
1777474610	XAUUSD	M15	4564.76						4568.10008	4567.62406	0
1777475510	XAUUSD	M15	4567.03						4567.64482	4567.63444	0
1777476410	XAUUSD	M15	4561.87						4566.10082	4566.86763	1
1777477310	XAUUSD	M15	4564.41						4563.27031	4565.06897	0
1777478210	XAUUSD	M15	4559.40						4558.96963	4562.01930	0
1777479110	XAUUSD	M15	4557.62						4553.41279	4557.71605	0
1777480010	XAUUSD	M15	4544.90						4546.95995	4552.33800	0
1777480910	XAUUSD	M15	4549.80						4540.44297	4546.39049	0
1777481810	XAUUSD	M15	4537.82						4534.31981	4540.35515	0
1777482710	XAUUSD	M15	4514.81						4529.49275	4534.92395	0
1777483610	XAUUSD	M15	4521.71					4510.28000	4527.00324	4530.96360	0
1777484510	XAUUSD	M15	4526.15						4526.82822	4528.89591	0
1777485410	XAUUSD	M15	4533.20						4528.72240	4528.80915	0
1777486310	XAUUSD	M15	4538.69						4532.16078	4530.48497	1
1777487210	XAUUSD	M15	4539.25						4536.54527	4533.51512	0
1777488110	XAUUSD	M15	4538.08						4541.37693	4537.44602	0
1777489010	XAUUSD	M15	4543.61						4546.21842	4541.83222	0
1777489910	XAUUSD	M15	4553.17						4550.49238	4546.16230	0
1777490810	XAUUSD	M15	4547.48						4553.60137	4549.88184	0
1777491710	XAUUSD	M15	4559.10						4555.46332	4552.67258	0
1777492610	XAUUSD	M15	4560.23						4555.66916	4554.17087	0
1777493510	XAUUSD	M15	4550.51						4554.25157	4554.21122	0
1777494410	XAUUSD	M15	4545.36						4551.68891	4552.95007	1
1777495310	XAUUSD	M15	4550.68						4548.42901	4550.68954	0
1777496210	XAUUSD	M15	4547.23						4544.69097	4547.69025	0
1777497110	XAUUSD	M15	4544.75						4540.94655	4544.31840	0
1777498010	XAUUSD	M15	4547.33						4537.63596	4540.97718	0
1777498910	XAUUSD	M15	4525.75						4535.02714	4538.00216	0
1777499810	XAUUSD	M15	4532.95						4533.91799	4535.96007	0
1777500710	XAUUSD	M15	4520.81						4534.14590	4535.05299	0
1777501610	XAUUSD	M15	4538.19					4518.41000	4535.83797	4535.44548	1
1777502510	XAUUSD	M15	4547.72						4538.16459	4536.80503	0
1777503410	XAUUSD	M15	4542.84						4540.44852	4538.62677	0
1777504310	XAUUSD	M15	4539.61						4542.47662	4540.55170	0
1777505210	XAUUSD	M15	4547.05						4544.12446	4542.33808	0
1777506110	XAUUSD	M15	4546.25						4545.14296	4543.74052	0
1777507010	XAUUSD	M15	4543.25						4545.65025	4544.69539	0
1777507910	XAUUSD	M15	4543.79						4545.93354	4545.31447	0
1777508810	XAUUSD	M15	4543.57						4546.20775	4545.76111	0
1777513310	XAUUSD	M15	4546.40						4546.68975	4546.22543	0
1777514210	XAUUSD	M15	4549.14						4547.45217	4546.83880	0
1777515110	XAUUSD	M15	4548.51						4548.49735	4547.66807	0
1777516010	XAUUSD	M15	4552.08						4549.87645	4548.77226	0
1777516910	XAUUSD	M15	4553.33						4551.51343	4550.14285	0
1777517810	XAUUSD	M15	4551.63						4553.40752	4551.77519	0
1777518710	XAUUSD	M15	4554.44						4555.65259	4553.71389	0
1777519610	XAUUSD	M15	4561.66						4558.22723	4555.97056	0
1777520510	XAUUSD	M15	4557.93						4560.98037	4558.47547	0
1777521410	XAUUSD	M15	4563.57						4564.02055	4561.24801	0
1777522310	XAUUSD	M15	4567.11						4567.15697	4564.20249	0
1777523210	XAUUSD	M15	4569.83						4570.17556	4567.18903	0
1777524110	XAUUSD	M15	4568.52						4572.84909	4570.01906	0
1777525010	XAUUSD	M15	4579.79						4575.03201	4572.52553	0
1777525910	XAUUSD	M15	4576.31						4576.24986	4574.38770	0
1777526810	XAUUSD	M15	4579.13				4582.32000		4576.46892	4575.42831	0
1777527710	XAUUSD	M15	4579.74						4575.57471	4575.50151	0
1777528610	XAUUSD	M15	4573.13						4573.60931	4574.55541	1
1777529510	XAUUSD	M15	4562.53						4570.88276	4572.71909	0
1777530410	XAUUSD	M15	4565.02						4567.84144	4570.28026	0
1777531310	XAUUSD	M15	4564.98						4564.54105	4567.41066	0
1777532210	XAUUSD	M15	4563.32						4561.09241	4564.25154	0
1777533110	XAUUSD	M15	4561.66						4557.64580	4560.94867	0
