Non_B_timestamp	Non_B_symbol	Non_B_timeframe	Non_B_close	Non_B_Base_FL	Non_B_UOEDT	Non_B_LOEDT	Non_B_horiz_high_map	Non_B_horiz_low_map	Non_B_ssa	Non_B_ema_ssa	Non_B_crossing
1780030021	XAUUSD	M5	4500.90						4510.79693	4510.79693	0
1780030321	XAUUSD	M5	4508.78						4512.24832	4511.52263	1
1780030621	XAUUSD	M5	4515.01						4512.45454	4511.98858	0
1780030921	XAUUSD	M5	4518.56				4520.75000		4511.53514	4511.76186	1
1780031221	XAUUSD	M5	4512.77						4509.83487	4510.79836	0
1780031521	XAUUSD	M5	4505.50						4508.16229	4509.48033	0
1780031821	XAUUSD	M5	4504.25						4507.01138	4508.24585	0
1780032121	XAUUSD	M5	4507.06						4506.37242	4507.30914	0
1780032421	XAUUSD	M5	4506.37						4506.03967	4506.67440	0
1780032721	XAUUSD	M5	4502.10						4505.95463	4506.31452	0
1780033021	XAUUSD	M5	4506.03						4506.12867	4506.22160	0
1780033321	XAUUSD	M5	4506.47						4506.29308	4506.25734	1
1780033621	XAUUSD	M5	4510.81						4506.36535	4506.31135	0
1780033921	XAUUSD	M5	4505.80						4506.22297	4506.26716	1
1780034221	XAUUSD	M5	4506.83						4506.02600	4506.14658	0
1780034521	XAUUSD	M5	4505.83						4505.79473	4505.97065	0
1780034821	XAUUSD	M5	4504.64						4505.59102	4505.78084	0
1780035121	XAUUSD	M5	4502.98						4505.43969	4505.61026	0
1780035421	XAUUSD	M5	4504.00						4505.31608	4505.46317	0
1780035721	XAUUSD	M5	4506.21						4505.12401	4505.29359	0
1780036021	XAUUSD	M5	4505.00						4504.73329	4505.01344	0
1780036321	XAUUSD	M5	4506.39						4504.08842	4504.55093	0
1780036621	XAUUSD	M5	4503.31						4503.14033	4503.84563	0
1780036921	XAUUSD	M5	4501.72						4501.96622	4502.90593	0
1780037221	XAUUSD	M5	4501.64						4500.66578	4501.78585	0
1780037521	XAUUSD	M5	4498.22						4499.35521	4500.57053	0
1780037821	XAUUSD	M5	4496.29						4498.20743	4499.38898	0
1780038121	XAUUSD	M5	4496.51						4497.34451	4498.36674	0
1780038421	XAUUSD	M5	4498.38						4496.82608	4497.59641	0
1780038721	XAUUSD	M5	4496.95						4496.64045	4497.11843	0
1780039021	XAUUSD	M5	4497.40						4496.81276	4496.96560	0
1780039321	XAUUSD	M5	4496.27					4494.93000	4497.30215	4497.13387	1
1780039621	XAUUSD	M5	4498.26						4498.07462	4497.60425	0
1780039921	XAUUSD	M5	4499.93						4499.02536	4498.31480	0
1780040221	XAUUSD	M5	4499.79						4500.07983	4499.19732	0
1780040521	XAUUSD	M5	4501.44						4501.22075	4500.20904	0
1780040821	XAUUSD	M5	4502.66						4502.41121	4501.31012	0
1780041121	XAUUSD	M5	4503.27						4503.61825	4502.46419	0
1780041421	XAUUSD	M5	4502.39						4504.81993	4503.64206	0
1780041721	XAUUSD	M5	4504.67						4506.02450	4504.83328	0
