Cherry_A_timestamp	Cherry_A_symbol	Cherry_A_timeframe	Cherry_A_close	Cherry_A_Base_FL	Cherry_A_UOEDT	Cherry_A_LOEDT	Cherry_A_horiz_high_map	Cherry_A_horiz_low_map	Cherry_A_ssa	Cherry_A_ema_ssa	Cherry_A_crossing
1780029461	XAUUSD	M5	4500.90						4510.79693	4510.79693	0
1780029761	XAUUSD	M5	4508.78						4512.24832	4511.52263	1
1780030061	XAUUSD	M5	4515.01						4512.45454	4511.98858	0
1780030361	XAUUSD	M5	4518.56				4520.75000		4511.53514	4511.76186	1
1780030661	XAUUSD	M5	4512.77						4509.83487	4510.79836	0
1780030961	XAUUSD	M5	4505.50						4508.16229	4509.48033	0
1780031261	XAUUSD	M5	4504.25						4507.01138	4508.24585	0
1780031561	XAUUSD	M5	4507.06						4506.37242	4507.30914	0
1780031861	XAUUSD	M5	4506.37						4506.03967	4506.67440	0
1780032161	XAUUSD	M5	4502.10						4505.95463	4506.31452	0
1780032461	XAUUSD	M5	4506.03						4506.12867	4506.22160	0
1780032761	XAUUSD	M5	4506.47						4506.29308	4506.25734	1
1780033061	XAUUSD	M5	4510.81						4506.36535	4506.31135	0
1780033361	XAUUSD	M5	4505.80						4506.22297	4506.26716	1
1780033661	XAUUSD	M5	4506.83						4506.02600	4506.14658	0
1780033961	XAUUSD	M5	4505.83						4505.79473	4505.97065	0
1780034261	XAUUSD	M5	4504.64						4505.59102	4505.78084	0
1780034561	XAUUSD	M5	4502.98						4505.43969	4505.61026	0
1780034861	XAUUSD	M5	4504.00						4505.31608	4505.46317	0
1780035161	XAUUSD	M5	4506.21						4505.12401	4505.29359	0
1780035461	XAUUSD	M5	4505.00						4504.73329	4505.01344	0
1780035761	XAUUSD	M5	4506.39						4504.08842	4504.55093	0
1780036061	XAUUSD	M5	4503.31						4503.14033	4503.84563	0
1780036361	XAUUSD	M5	4501.72						4501.96622	4502.90593	0
1780036661	XAUUSD	M5	4501.64						4500.66578	4501.78585	0
1780036961	XAUUSD	M5	4498.22						4499.35521	4500.57053	0
1780037261	XAUUSD	M5	4496.29						4498.20743	4499.38898	0
1780037561	XAUUSD	M5	4496.51						4497.34451	4498.36674	0
1780037861	XAUUSD	M5	4498.38						4496.82608	4497.59641	0
1780038161	XAUUSD	M5	4496.95						4496.64045	4497.11843	0
1780038461	XAUUSD	M5	4497.40						4496.81276	4496.96560	0
1780038761	XAUUSD	M5	4496.27					4494.93000	4497.30215	4497.13387	1
1780039061	XAUUSD	M5	4498.26						4498.07462	4497.60425	0
1780039361	XAUUSD	M5	4499.93						4499.02536	4498.31480	0
1780039661	XAUUSD	M5	4499.79						4500.07983	4499.19732	0
1780039961	XAUUSD	M5	4501.44						4501.22075	4500.20904	0
1780040261	XAUUSD	M5	4502.66						4502.41121	4501.31012	0
1780040561	XAUUSD	M5	4503.27						4503.61825	4502.46419	0
1780040861	XAUUSD	M5	4502.39						4504.81993	4503.64206	0
1780041161	XAUUSD	M5	4504.67						4506.02450	4504.83328	0
1780041461	XAUUSD	M5	4510.57						4507.17079	4506.00204	0
1780041761	XAUUSD	M5	4509.10						4508.11665	4507.05934	0
1780042061	XAUUSD	M5	4508.89						4508.91529	4507.98732	0
1780042361	XAUUSD	M5	4509.76						4509.61249	4508.79990	0
1780042661	XAUUSD	M5	4510.60						4510.23244	4509.51617	0
1780042961	XAUUSD	M5	4509.31						4510.77347	4510.14482	0
1780043261	XAUUSD	M5	4509.36						4511.24458	4510.69470	0
1780043561	XAUUSD	M5	4514.16						4511.58723	4511.14097	0
1780043861	XAUUSD	M5	4509.71						4511.61331	4511.37714	0
1780044161	XAUUSD	M5	4510.09						4511.35434	4511.36574	1
1780044461	XAUUSD	M5	4511.97						4510.79245	4511.07909	0
1780044761	XAUUSD	M5	4511.84						4509.95740	4510.51825	0
1780045061	XAUUSD	M5	4509.89						4509.00967	4509.76396	0
1780045361	XAUUSD	M5	4510.15						4508.21116	4508.98756	0
1780045661	XAUUSD	M5	4508.44						4507.77104	4508.37930	0
1780045961	XAUUSD	M5	4503.72						4507.88695	4508.13312	0
