timestamp	symbol	timeframe	close	diag_asc_line_1	diag_asc_line_2	diag_asc_line_3	diag_desc_line_1	diag_desc_line_2	diag_desc_line_3	diag_high_map	diag_low_map
1772024998	XAUUSD	M5	5187.20							0	0
1772025298	XAUUSD	M5	5187.00							0	0
1772025598	XAUUSD	M5	5191.13							5191.47	0
1772025898	XAUUSD	M5	5188.07							0	0
1772026198	XAUUSD	M5	5188.16							0	0
1772026498	XAUUSD	M5	5189.61							0	0
1772026798	XAUUSD	M5	5186.84							0	0
1772027098	XAUUSD	M5	5186.59							0	0
1772027398	XAUUSD	M5	5186.07							0	0
1772027698	XAUUSD	M5	5185.23							0	0
1772027998	XAUUSD	M5	5187.18							0	0
1772028298	XAUUSD	M5	5189.99							0	0
1772028598	XAUUSD	M5	5185.44							0	0
1772028898	XAUUSD	M5	5182.68							0	0
1772029198	XAUUSD	M5	5181.49							0	0
1772029498	XAUUSD	M5	5177.91							0	0
1772029798	XAUUSD	M5	5174.14							0	0
1772030098	XAUUSD	M5	5159.73							0	5158.94
1772030398	XAUUSD	M5	5174.91							0	0
1772030698	XAUUSD	M5	5181.79							0	0
1772030998	XAUUSD	M5	5188.55							0	0
1772031298	XAUUSD	M5	5191.25							0	0
1772031598	XAUUSD	M5	5198.64							0	0
1772031898	XAUUSD	M5	5195.89							0	0
1772032198	XAUUSD	M5	5193.17							0	0
1772032498	XAUUSD	M5	5188.97							0	0
1772032798	XAUUSD	M5	5185.46							0	0
1772033098	XAUUSD	M5	5180.33							0	0
1772033398	XAUUSD	M5	5181.68							0	0
1772033698	XAUUSD	M5	5187.95							0	0
1772033998	XAUUSD	M5	5191.00							0	0
1772034298	XAUUSD	M5	5197.90							0	0
1772034598	XAUUSD	M5	5195.48							0	0
1772034898	XAUUSD	M5	5194.50							0	0
1772035198	XAUUSD	M5	5194.37							0	0
1772035498	XAUUSD	M5	5191.37							0	0
1772035798	XAUUSD	M5	5192.52							0	0
1772036098	XAUUSD	M5	5197.05							0	0
1772036398	XAUUSD	M5	5205.29							0	0
1772036698	XAUUSD	M5	5203.22							0	0
1772036998	XAUUSD	M5	5206.56							0	0
1772037298	XAUUSD	M5	5203.39							0	0
1772037598	XAUUSD	M5	5207.51							0	0
1772037898	XAUUSD	M5	5208.18							0	0
1772038198	XAUUSD	M5	5211.95							0	0
1772038498	XAUUSD	M5	5212.31							0	0
1772038798	XAUUSD	M5	5210.09							0	0
1772039098	XAUUSD	M5	5214.69							0	0
1772039398	XAUUSD	M5	5215.17							5217.63	0
1772039698	XAUUSD	M5	5214.53							0	0
1772039998	XAUUSD	M5	5213.27							0	0
1772040298	XAUUSD	M5	5213.10							0	0
1772040598	XAUUSD	M5	5211.85							0	0
1772040898	XAUUSD	M5	5213.17							0	0
1772041198	XAUUSD	M5	5208.33							0	0
1772041498	XAUUSD	M5	5206.71							0	0
1772041798	XAUUSD	M5	5206.32							0	0
1772042098	XAUUSD	M5	5206.82							0	0
1772042398	XAUUSD	M5	5207.40							0	0
1772042698	XAUUSD	M5	5207.07							0	0
1772042998	XAUUSD	M5	5206.89							0	0
1772043298	XAUUSD	M5	5206.80							0	0
1772043598	XAUUSD	M5	5206.77							0	0
1772043898	XAUUSD	M5	5206.80							0	0
1772044198	XAUUSD	M5	5206.80							0	0
1772044498	XAUUSD	M5	5206.39							0	0
1772044798	XAUUSD	M5	5205.13							0	0
1772045098	XAUUSD	M5	5200.95							0	0
1772045398	XAUUSD	M5	5202.58							0	0
1772045698	XAUUSD	M5	5202.12							0	0
1772045998	XAUUSD	M5	5200.91							0	0
1772046298	XAUUSD	M5	5194.29							0	0
1772046598	XAUUSD	M5	5207.04							0	0
1772046898	XAUUSD	M5	5200.55							0	0
1772047198	XAUUSD	M5	5197.32							0	0
1772047498	XAUUSD	M5	5202.59							0	0
1772047798	XAUUSD	M5	5202.51							0	0
1772048098	XAUUSD	M5	5201.00							0	0
1772048398	XAUUSD	M5	5204.32							0	0
1772048698	XAUUSD	M5	5205.00							0	0
1772048998	XAUUSD	M5	5204.97							5208.32	0
1772049298	XAUUSD	M5	5204.87							0	0
1772049598	XAUUSD	M5	5201.76							0	0
1772049898	XAUUSD	M5	5202.46							0	0
1772050198	XAUUSD	M5	5195.27							0	0
1772050498	XAUUSD	M5	5184.80							0	0
1772050798	XAUUSD	M5	5189.00							0	0
1772051098	XAUUSD	M5	5186.11							0	0
1772051398	XAUUSD	M5	5188.12							0	0
1772051698	XAUUSD	M5	5183.41							0	0
1772051998	XAUUSD	M5	5181.48							0	0
1772052298	XAUUSD	M5	5173.57							0	0
1772052598	XAUUSD	M5	5178.01							0	0
1772052898	XAUUSD	M5	5152.16							0	5145.45
1772053198	XAUUSD	M5	5156.08							0	0
1772053498	XAUUSD	M5	5163.03							0	0
1772053798	XAUUSD	M5	5161.84							0	0
1772054098	XAUUSD	M5	5165.38							0	0
1772054398	XAUUSD	M5	5169.17							0	0
1772054698	XAUUSD	M5	5169.12							0	0
1772054998	XAUUSD	M5	5168.22							0	0
1772055298	XAUUSD	M5	5168.90							0	0
1772055598	XAUUSD	M5	5170.25							0	0
1772055898	XAUUSD	M5	5170.94							0	0
1772056198	XAUUSD	M5	5164.31							0	0
1772056498	XAUUSD	M5	5164.89							0	0
1772060398	XAUUSD	M5	5175.34							0	0
1772060698	XAUUSD	M5	5179.73							0	0
1772060998	XAUUSD	M5	5168.80							0	0
1772061298	XAUUSD	M5	5174.01							0	0
1772061598	XAUUSD	M5	5170.68							0	0
1772061898	XAUUSD	M5	5170.04							0	0
1772062198	XAUUSD	M5	5168.98							0	0
1772062498	XAUUSD	M5	5169.88							0	0
1772062798	XAUUSD	M5	5172.62							0	0
1772063098	XAUUSD	M5	5167.31							0	0
1772063398	XAUUSD	M5	5169.57							0	0
1772063698	XAUUSD	M5	5163.13							0	0
1772063998	XAUUSD	M5	5160.24							0	5155.71
1772064298	XAUUSD	M5	5161.95							0	0
1772064598	XAUUSD	M5	5167.67							0	0
1772064898	XAUUSD	M5	5169.72							0	0
1772065198	XAUUSD	M5	5180.94							0	0
1772065498	XAUUSD	M5	5185.25							0	0
1772065798	XAUUSD	M5	5182.32							0	0
1772066098	XAUUSD	M5	5182.63							0	0
1772066398	XAUUSD	M5	5188.37							0	0
1772066698	XAUUSD	M5	5185.97							0	0
1772066998	XAUUSD	M5	5189.70							0	0
1772067298	XAUUSD	M5	5188.31							0	0
1772067598	XAUUSD	M5	5194.75				5198.49			5198.49	0
1772067898	XAUUSD	M5	5183.93				5198.16			0	0
1772068198	XAUUSD	M5	5187.53				5197.83			0	0
1772068498	XAUUSD	M5	5189.46				5197.50			0	0
1772068798	XAUUSD	M5	5186.05				5197.17			0	0
1772069098	XAUUSD	M5	5180.54				5196.85			0	0
1772069398	XAUUSD	M5	5187.99				5196.52			0	0
1772069698	XAUUSD	M5	5185.42				5196.19			0	0
1772069998	XAUUSD	M5	5189.54				5195.86			0	0
1772070298	XAUUSD	M5	5189.93				5195.53			0	0
1772070598	XAUUSD	M5	5191.16				5195.20			0	0
1772070898	XAUUSD	M5	5191.71				5194.87			0	0
1772071198	XAUUSD	M5	5190.17				5194.54			0	0
1772071498	XAUUSD	M5	5187.26				5194.22			0	0
1772071798	XAUUSD	M5	5183.06				5193.89			0	0
1772072098	XAUUSD	M5	5188.25				5193.56			0	0
1772072398	XAUUSD	M5	5183.44				5193.23			0	0
1772072698	XAUUSD	M5	5180.79				5192.90			0	0
1772072998	XAUUSD	M5	5178.87				5192.57			0	0
1772073298	XAUUSD	M5	5180.52				5192.24			0	0
1772073598	XAUUSD	M5	5176.09	5174.34			5191.91			0	5174.34
1772073898	XAUUSD	M5	5180.78	5174.52			5191.58			0	0
1772074198	XAUUSD	M5	5184.69	5174.69			5191.26			0	0
1772074498	XAUUSD	M5	5184.34	5174.87			5190.93			0	0
1772074798	XAUUSD	M5	5187.44	5175.05			5190.60			0	0
1772075098	XAUUSD	M5	5185.97	5175.23			5190.27			0	0
1772075398	XAUUSD	M5	5187.26	5175.40			5189.94			0	0
1772075698	XAUUSD	M5	5190.19	5175.58			5189.61			0	0
1772075998	XAUUSD	M5	5191.04	5175.76			5189.28			0	0
1772076298	XAUUSD	M5	5188.35	5175.93			5188.95			0	0
1772076598	XAUUSD	M5	5188.56	5176.11			5188.63			0	0
1772076898	XAUUSD	M5	5186.58	5176.29			5188.30			0	0
1772077198	XAUUSD	M5	5186.18	5176.46			5187.97			0	0
1772077498	XAUUSD	M5	5188.61	5176.64			5187.64			0	0
1772077798	XAUUSD	M5	5191.34	5176.82			5187.31			0	0
1772078098	XAUUSD	M5	5192.63	5177.00			5186.98			0	0
1772078398	XAUUSD	M5	5194.08	5177.17			5186.65			0	0
1772078698	XAUUSD	M5	5195.76	5177.35			5186.32			0	0
1772078998	XAUUSD	M5	5196.80	5177.53			5185.99			0	0
1772079298	XAUUSD	M5	5193.83	5177.70			5185.67			0	0
1772079598	XAUUSD	M5	5193.75	5177.88			5185.34			0	0
1772079898	XAUUSD	M5	5194.13	5178.06			5185.01			0	0
1772080198	XAUUSD	M5	5194.86	5178.24			5184.68			0	0
1772080498	XAUUSD	M5	5195.40	5178.41			5184.35			0	0
1772080798	XAUUSD	M5	5194.26	5178.59			5184.02			0	0
1772081098	XAUUSD	M5	5191.38	5178.77			5183.69			0	0
1772081398	XAUUSD	M5	5192.61	5178.94			5183.36			0	0
1772081698	XAUUSD	M5	5192.69	5179.12			5183.04			0	0
1772081998	XAUUSD	M5	5193.25	5179.30			5182.71			0	0
1772082298	XAUUSD	M5	5194.54	5179.48			5182.38			0	0
1772082598	XAUUSD	M5	5197.85	5179.65			5182.05			0	0
1772082898	XAUUSD	M5	5199.82	5179.83			5181.72			0	0
1772083198	XAUUSD	M5	5202.71	5180.01			5181.39			0	0
1772083498	XAUUSD	M5	5200.41	5180.18			5181.06			5205.31	0
1772083798	XAUUSD	M5	5201.13	5180.36			5180.73			0	0
1772084098	XAUUSD	M5	5199.26	5180.54			5180.41			0	0
1772084398	XAUUSD	M5	5199.69	5180.71			5180.08			0	0
1772084698	XAUUSD	M5	5193.88	5180.89			5179.75			0	0
1772084998	XAUUSD	M5	5194.18	5181.07			5179.42			0	0
1772085298	XAUUSD	M5	5198.46	5181.25			5179.09			0	0
1772085598	XAUUSD	M5	5193.77	5181.42			5178.76			0	0
1772085898	XAUUSD	M5	5198.41	5181.60			5178.43			0	0
