z-score_timestamp	z-score_symbol	z-score_timeframe	z-score_close	z-score_open	z-score_high	z-score_low	body_direction	body_size	body_classification
1788423003	XAUUSD	M5	4431.23	4435.22	4435.53	4430.87	-1	0.65407	3
1788423303	XAUUSD	M5	4437.92	4431.38	4438.68	4430.78	1	1.77026	1
1788423603	XAUUSD	M5	4437.35	4437.89	4439.53	4435.24	-1	0.86545	3
1788423903	XAUUSD	M5	4438.33	4437.28	4438.78	4435.09	1	0.63854	0
1788424203	XAUUSD	M5	4438.89	4438.37	4439.54	4435.86	1	0.86765	0
1788424503	XAUUSD	M5	4434.21	4439.05	4439.69	4434.21	-1	1.02741	3
1788424803	XAUUSD	M5	4434.13	4434.21	4435.29	4431.47	-1	1.06067	3
1788425103	XAUUSD	M5	4438.33	4434.59	4440.03	4434.47	1	0.54300	0
1788425403	XAUUSD	M5	4435.44	4438.33	4438.33	4434.32	-1	0.16957	3
1788425703	XAUUSD	M5	4434.98	4435.47	4437.48	4434.05	-1	0.88024	3
1788426003	XAUUSD	M5	4437.26	4435.03	4437.74	4434.15	1	0.12000	0
1788426303	XAUUSD	M5	4440.02	4437.26	4441.91	4435.18	1	0.11013	0
1788426603	XAUUSD	M5	4438.25	4439.75	4439.98	4437.81	-1	0.43970	3
1788426903	XAUUSD	M5	4434.66	4437.99	4438.31	4434.60	-1	0.36421	3
1788427203	XAUUSD	M5	4432.62	4434.65	4435.36	4432.18	-1	0.20904	3
1788427503	XAUUSD	M5	4435.29	4432.62	4435.80	4432.24	1	0.07056	0
1788427803	XAUUSD	M5	4437.07	4435.27	4437.82	4433.66	1	0.31027	0
1788428103	XAUUSD	M5	4432.69	4437.06	4438.02	4430.70	-1	0.82829	3
1788428403	XAUUSD	M5	4430.03	4432.81	4434.19	4429.57	-1	0.12524	3
1788428703	XAUUSD	M5	4429.05	4430.03	4430.07	4427.29	-1	0.67121	3
1788429003	XAUUSD	M5	4427.24	4429.05	4430.50	4426.67	-1	0.30520	3
1788429303	XAUUSD	M5	4427.52	4427.12	4429.22	4425.61	1	0.92843	0
1788429603	XAUUSD	M5	4427.32	4427.52	4428.40	4425.50	-1	1.01547	3
1788429903	XAUUSD	M5	4425.22	4427.30	4429.87	4425.17	-1	0.18502	3
1788430203	XAUUSD	M5	4424.45	4425.19	4425.70	4423.11	-1	0.77467	3
1788430503	XAUUSD	M5	4422.08	4424.50	4425.64	4421.91	-1	0.03224	3
1788430803	XAUUSD	M5	4419.83	4422.10	4423.01	4419.20	-1	0.10093	3
1788431103	XAUUSD	M5	4422.51	4420.00	4424.09	4420.00	1	0.00463	0
1788431403	XAUUSD	M5	4422.62	4422.51	4424.23	4420.10	1	1.05839	0
1788431703	XAUUSD	M5	4424.44	4422.62	4424.89	4422.09	1	0.30140	0
1788432003	XAUUSD	M5	4425.63	4424.44	4426.31	4424.11	1	0.58218	0
1788432303	XAUUSD	M5	4424.57	4425.58	4426.60	4424.11	-1	0.66211	3
1788432603	XAUUSD	M5	4427.78	4424.52	4427.95	4424.06	1	0.33288	0
1788432903	XAUUSD	M5	4427.51	4427.96	4428.52	4426.90	-1	0.91398	3
1788433203	XAUUSD	M5	4426.31	4427.25	4429.18	4425.05	-1	0.69543	3
1788433503	XAUUSD	M5	4430.89	4426.25	4431.09	4425.86	1	0.94161	0
1788433803	XAUUSD	M5	4432.72	4430.84	4432.72	4430.08	1	0.28306	0
1788434103	XAUUSD	M5	4434.27	4432.68	4437.98	4432.39	1	0.41163	0
1788434403	XAUUSD	M5	4431.32	4434.27	4434.62	4430.65	-1	0.18928	3
1788434703	XAUUSD	M5	4434.33	4431.28	4435.19	4430.34	1	0.23114	0
1788435003	XAUUSD	M5	4434.32	4434.57	4435.44	4426.33	-1	1.01230	3
1788435303	XAUUSD	M5	4435.76	4434.33	4436.86	4434.28	1	0.48966	0
1788435603	XAUUSD	M5	4438.77	4435.67	4439.29	4435.54	1	0.25036	0
1788435903	XAUUSD	M5	4439.16	4438.77	4440.71	4436.65	1	0.95592	0
1788436203	XAUUSD	M5	4440.08	4439.19	4441.80	4438.06	1	0.73341	0
1788436503	XAUUSD	M5	4444.13	4440.10	4444.95	4439.88	1	0.66048	0
1788436803	XAUUSD	M5	4448.37	4444.13	4448.62	4441.18	1	0.75032	0
1788437103	XAUUSD	M5	4448.70	4448.42	4449.05	4444.99	1	1.01309	0
1788437403	XAUUSD	M5	4443.86	4448.75	4450.20	4443.29	-1	1.03539	3
1788437703	XAUUSD	M5	4441.28	4443.86	4444.52	4440.79	-1	0.00429	3
1788438003	XAUUSD	M5	4446.75	4441.76	4449.14	4437.91	1	1.07514	0
1788438303	XAUUSD	M5	4446.55	4446.67	4449.10	4446.08	-1	1.08861	3
1788438603	XAUUSD	M5	4466.99	4446.56	4470.07	4446.35	1	7.40357	2
1788438903	XAUUSD	M5	4475.91	4466.89	4478.75	4459.74	1	2.63498	2
1788439203	XAUUSD	M5	4468.01	4475.24	4477.28	4464.97	-1	1.88447	4
1788439503	XAUUSD	M5	4480.01	4467.66	4480.23	4465.51	1	3.90621	2
1788439803	XAUUSD	M5	4491.47	4480.16	4492.20	4479.48	1	3.43070	2
1788440103	XAUUSD	M5	4493.36	4490.94	4495.21	4489.88	1	0.10321	0
1788440403	XAUUSD	M5	4489.84	4493.57	4495.87	4488.31	-1	0.41943	3
1788440703	XAUUSD	M5	4487.99	4490.09	4493.96	4485.89	-1	0.22639	3
1788441003	XAUUSD	M5	4485.60	4488.02	4490.11	4484.80	-1	0.09647	3
