No|Timestamp|Symbol|Timeframe|Close|Peak_Line_1|Peak_Line_2|Peak_Line_3|Bottom_Line_1|Bottom_Line_2|Bottom_Line_3|High_Map|Low_Map
1|2026.02.12 23:00|USDJPY.i|M15|152.750|154.064|153.411|153.995|153.253|153.195|152.686|0.000|0.000
2|2026.02.12 23:15|USDJPY.i|M15|152.751|154.056|153.401|153.988|153.245|153.187|152.676|0.000|0.000
3|2026.02.12 23:30|USDJPY.i|M15|152.766|154.048|153.390|153.982|153.237|153.180|152.666|0.000|0.000
4|2026.02.12 23:45|USDJPY.i|M15|152.737|154.040|153.379|153.975|153.228|153.172|152.656|0.000|0.000
5|2026.02.13 00:00|USDJPY.i|M15|152.713|154.032|153.369|153.968|153.220|153.165|152.646|0.000|152.646
6|2026.02.13 00:15|USDJPY.i|M15|152.746|154.024|153.358|153.961|153.212|153.158|152.636|0.000|0.000
7|2026.02.13 00:30|USDJPY.i|M15|152.733|154.016|153.348|153.955|153.204|153.150|152.626|0.000|0.000
8|2026.02.13 00:45|USDJPY.i|M15|152.674|154.007|153.337|153.948|153.196|153.143|152.616|0.000|0.000
9|2026.02.13 01:00|USDJPY.i|M15|152.800|153.999|153.327|153.941|153.188|153.135|152.606|0.000|0.000
10|2026.02.13 01:15|USDJPY.i|M15|152.846|153.991|153.316|153.935|153.180|153.128|152.596|0.000|0.000
11|2026.02.13 01:30|USDJPY.i|M15|152.719|153.983|153.306|153.928|153.171|153.120|152.586|0.000|0.000
12|2026.02.13 01:45|USDJPY.i|M15|152.785|153.975|153.295|153.921|153.163|153.113|152.575|0.000|0.000
13|2026.02.13 02:00|USDJPY.i|M15|152.877|153.967|153.285|153.914|153.155|153.106|152.565|0.000|0.000
14|2026.02.13 02:15|USDJPY.i|M15|152.948|153.959|153.274|153.908|153.147|153.098|152.555|0.000|0.000
15|2026.02.13 02:30|USDJPY.i|M15|152.833|153.951|153.264|153.901|153.139|153.091|152.545|0.000|0.000
16|2026.02.13 02:45|USDJPY.i|M15|152.765|153.942|153.253|153.894|153.131|153.083|152.535|0.000|0.000
17|2026.02.13 03:00|USDJPY.i|M15|153.187|153.934|153.243|153.888|153.123|153.076|152.525|0.000|0.000
18|2026.02.13 03:15|USDJPY.i|M15|153.331|153.926|153.232|153.881|153.114|153.068|152.515|0.000|0.000
19|2026.02.13 03:30|USDJPY.i|M15|153.312|153.918|153.222|153.874|153.106|153.061|152.505|0.000|0.000
20|2026.02.13 03:45|USDJPY.i|M15|153.269|153.910|153.211|153.867|153.098|153.054|152.495|0.000|0.000
21|2026.02.13 04:00|USDJPY.i|M15|153.255|153.902|153.201|153.861|153.090|153.046|152.485|0.000|0.000
22|2026.02.13 04:15|USDJPY.i|M15|153.070|153.894|153.190|153.854|153.082|153.039|152.475|0.000|0.000
23|2026.02.13 04:30|USDJPY.i|M15|153.063|153.886|153.180|153.847|153.074|153.031|152.465|0.000|0.000
24|2026.02.13 04:45|USDJPY.i|M15|153.158|153.877|153.169|153.841|153.066|153.024|152.454|0.000|0.000
25|2026.02.13 05:00|USDJPY.i|M15|153.112|153.869|153.159|153.834|153.057|153.016|152.444|0.000|0.000
26|2026.02.13 05:15|USDJPY.i|M15|153.011|153.861|153.148|153.827|153.049|153.009|152.434|0.000|0.000
27|2026.02.13 05:30|USDJPY.i|M15|152.926|153.853|153.138|153.820|153.041|153.002|152.424|0.000|0.000
28|2026.02.13 05:45|USDJPY.i|M15|152.951|153.845|153.127|153.814|153.033|152.994|152.414|0.000|0.000
29|2026.02.13 06:00|USDJPY.i|M15|152.905|153.837|153.117|153.807|153.025|152.987|152.404|0.000|0.000
30|2026.02.13 06:15|USDJPY.i|M15|152.948|153.829|153.106|153.800|153.017|152.979|152.394|0.000|0.000
31|2026.02.13 06:30|USDJPY.i|M15|153.126|153.820|153.096|153.794|153.008|152.972|152.384|0.000|0.000
32|2026.02.13 06:45|USDJPY.i|M15|153.252|153.812|153.085|153.787|153.000|152.964|152.374|0.000|0.000
