No|Timestamp|Symbol|Timeframe|Close|Diag_Asc_1|Diag_Asc_2|Diag_Asc_3|Diag_Desc_1|Diag_Desc_2|Diag_Desc_3|Diag_High_Map|Diag_Low_Map
1|2026.02.13 15:40|USDJPY.i|M5|153.249|153.150|154.051|154.662|152.830|153.084|150.783|0|0
2|2026.02.13 15:45|USDJPY.i|M5|153.196|153.152|154.059|154.671|152.826|153.072|150.773|0|0
3|2026.02.13 15:50|USDJPY.i|M5|153.050|153.155|154.066|154.680|152.822|153.061|150.763|0|0
4|2026.02.13 15:55|USDJPY.i|M5|153.067|153.158|154.074|154.689|152.819|153.050|150.753|0|0
5|2026.02.13 16:00|USDJPY.i|M5|153.042|153.160|154.082|154.698|152.815|153.038|150.743|0|0
6|2026.02.13 16:05|USDJPY.i|M5|153.050|153.163|154.089|154.707|152.812|153.027|150.733|0|0
7|2026.02.13 16:10|USDJPY.i|M5|153.033|153.166|154.097|154.716|152.808|153.015|150.723|0|0
8|2026.02.13 16:15|USDJPY.i|M5|152.999|153.169|154.104|154.725|152.805|153.004|150.713|0|0
9|2026.02.13 16:20|USDJPY.i|M5|152.999|153.171|154.112|154.734|152.801|152.993|150.703|0|0
10|2026.02.13 16:25|USDJPY.i|M5|152.897|153.174|154.119|154.743|152.798|152.981|150.692|0|0
11|2026.02.13 16:30|USDJPY.i|M5|152.910|153.177|154.127|154.752|152.794|152.970|150.682|0|0
12|2026.02.13 16:35|USDJPY.i|M5|152.877|153.179|154.134|154.761|152.791|152.958|150.672|0|0
13|2026.02.13 16:40|USDJPY.i|M5|152.966|153.182|154.142|154.770|152.787|152.947|150.662|0|152.787
14|2026.02.13 16:45|USDJPY.i|M5|153.020|153.185|154.150|154.779|152.783|152.935|150.652|0|0
15|2026.02.13 16:50|USDJPY.i|M5|153.049|153.187|154.157|154.788|152.780|152.924|150.642|0|0
16|2026.02.13 16:55|USDJPY.i|M5|153.045|153.190|154.165|154.797|152.776|152.913|150.632|0|0
17|2026.02.13 17:00|USDJPY.i|M5|152.962|153.193|154.172|154.806|152.773|152.901|150.622|0|0
18|2026.02.13 17:05|USDJPY.i|M5|153.046|153.195|154.180|154.815|152.769|152.890|150.612|0|0
19|2026.02.13 17:10|USDJPY.i|M5|153.046|153.198|154.187|154.825|152.766|152.878|150.602|0|0
20|2026.02.13 17:15|USDJPY.i|M5|153.090|153.201|154.195|154.834|152.762|152.867|150.592|0|0
21|2026.02.13 17:20|USDJPY.i|M5|153.001|153.203|154.202|154.843|152.759|152.856|150.582|0|0
22|2026.02.13 17:25|USDJPY.i|M5|153.036|153.206|154.210|154.852|152.755|152.844|150.572|0|0
23|2026.02.13 17:30|USDJPY.i|M5|153.075|153.209|154.218|154.861|152.752|152.833|150.562|0|0
24|2026.02.13 17:35|USDJPY.i|M5|153.072|153.212|154.225|154.870|152.748|152.821|150.552|0|0
25|2026.02.13 17:40|USDJPY.i|M5|152.951|153.214|154.233|154.879|152.744|152.810|150.542|0|0
26|2026.02.13 17:45|USDJPY.i|M5|152.948|153.217|154.240|154.888|152.741|152.798|150.532|0|0
27|2026.02.13 17:50|USDJPY.i|M5|153.006|153.220|154.248|154.897|152.737|152.787|150.522|0|0
28|2026.02.13 17:55|USDJPY.i|M5|153.132|153.222|154.255|154.906|152.734|152.776|150.512|0|0
29|2026.02.13 18:00|USDJPY.i|M5|153.165|153.225|154.263|154.915|152.730|152.764|150.502|153.225|0
30|2026.02.13 18:05|USDJPY.i|M5|153.161|153.228|154.270|154.924|152.727|152.753|150.492|0|0
31|2026.02.13 18:10|USDJPY.i|M5|153.053|153.230|154.278|154.933|152.723|152.741|150.482|0|0
32|2026.02.13 18:15|USDJPY.i|M5|153.057|153.233|154.286|154.942|152.720|152.730|150.472|0|0
33|2026.02.13 18:20|USDJPY.i|M5|152.895|153.236|154.293|154.951|152.716|152.719|150.462|0|0
34|2026.02.13 18:25|USDJPY.i|M5|152.870|153.238|154.301|154.960|152.713|152.707|150.452|0|0
35|2026.02.13 18:30|USDJPY.i|M5|152.862|153.241|154.308|154.969|152.709|152.696|150.442|0|0
36|2026.02.13 18:35|USDJPY.i|M5|152.894|153.244|154.316|154.978|152.705|152.684|150.432|0|0
37|2026.02.13 18:40|USDJPY.i|M5|152.807|153.247|154.323|154.987|152.702|152.673|150.422|0|0
38|2026.02.13 18:45|USDJPY.i|M5|152.817|153.249|154.331|154.996|152.698|152.661|150.412|0|0
39|2026.02.13 18:50|USDJPY.i|M5|152.770|153.252|154.338|155.005|152.695|152.650|150.402|0|0
40|2026.02.13 18:55|USDJPY.i|M5|152.790|153.255|154.346|155.014|152.691|152.639|150.392|0|0
41|2026.02.13 19:00|USDJPY.i|M5|152.789|153.257|154.354|155.023|152.688|152.627|150.382|0|0
42|2026.02.13 19:05|USDJPY.i|M5|152.750|153.260|154.361|155.032|152.684|152.616|150.372|0|0
43|2026.02.13 19:10|USDJPY.i|M5|152.661|153.263|154.369|155.041|152.681|152.604|150.362|0|0
44|2026.02.13 19:15|USDJPY.i|M5|152.672|153.265|154.376|155.050|152.677|152.593|150.352|0|152.593
45|2026.02.13 19:20|USDJPY.i|M5|152.738|153.268|154.384|155.059|152.674|152.582|150.342|0|0
46|2026.02.13 19:25|USDJPY.i|M5|152.698|153.271|154.391|155.068|152.670|152.570|150.332|0|0
47|2026.02.13 19:30|USDJPY.i|M5|152.813|153.273|154.399|155.077|152.666|152.559|150.322|0|0
48|2026.02.13 19:35|USDJPY.i|M5|152.819|153.276|154.406|155.086|152.663|152.547|150.312|0|0
49|2026.02.13 19:40|USDJPY.i|M5|152.816|153.279|154.414|155.095|152.659|152.536|150.302|0|0
50|2026.02.13 19:45|USDJPY.i|M5|152.825|153.281|154.422|155.104|152.656|152.525|150.292|0|0
51|2026.02.13 19:50|USDJPY.i|M5|152.753|153.284|154.429|155.113|152.652|152.513|150.282|0|0
52|2026.02.13 19:55|USDJPY.i|M5|152.806|153.287|154.437|155.122|152.649|152.502|150.272|0|0
53|2026.02.13 20:00|USDJPY.i|M5|152.788|153.290|154.444|155.131|152.645|152.490|150.262|0|0
54|2026.02.13 20:05|USDJPY.i|M5|152.814|153.292|154.452|155.140|152.642|152.479|150.252|0|0
55|2026.02.13 20:10|USDJPY.i|M5|152.803|153.295|154.459|155.149|152.638|152.467|150.242|0|0
56|2026.02.13 20:15|USDJPY.i|M5|152.838|153.298|154.467|155.158|152.635|152.456|150.232|0|0
57|2026.02.13 20:20|USDJPY.i|M5|152.864|153.300|154.474|155.167|152.631|152.445|150.222|0|0
58|2026.02.13 20:25|USDJPY.i|M5|152.813|153.303|154.482|155.176|152.628|152.433|150.212|0|0
59|2026.02.13 20:30|USDJPY.i|M5|152.812|153.306|154.490|155.185|152.624|152.422|150.202|0|0
60|2026.02.13 20:35|USDJPY.i|M5|152.847|153.308|154.497|155.194|152.620|152.410|150.192|0|0
61|2026.02.13 20:40|USDJPY.i|M5|152.803|153.311|154.505|155.203|152.617|152.399|150.182|0|0
62|2026.02.13 20:45|USDJPY.i|M5|152.840|153.314|154.512|155.212|152.613|152.388|150.172|0|0
63|2026.02.13 20:50|USDJPY.i|M5|152.874|153.316|154.520|155.221|152.610|152.376|150.162|152.888|0
64|2026.02.13 20:55|USDJPY.i|M5|152.831|153.319|154.527|155.230|152.606|152.365|150.152|0|0
65|2026.02.13 21:00|USDJPY.i|M5|152.844|153.322|154.535|155.239|152.603|152.353|150.141|0|0
66|2026.02.13 21:05|USDJPY.i|M5|152.810|153.325|154.542|155.248|152.599|152.342|150.131|0|0
67|2026.02.13 21:10|USDJPY.i|M5|152.809|153.327|154.550|155.257|152.596|152.330|150.121|0|0
68|2026.02.13 21:15|USDJPY.i|M5|152.813|153.330|154.558|155.266|152.592|152.319|150.111|0|0
69|2026.02.13 21:20|USDJPY.i|M5|152.779|153.333|154.565|155.275|152.589|152.308|150.101|0|0
70|2026.02.13 21:25|USDJPY.i|M5|152.769|153.335|154.573|155.284|152.585|152.296|150.091|0|0
71|2026.02.13 21:30|USDJPY.i|M5|152.743|153.338|154.580|155.293|152.581|152.285|150.081|0|0
72|2026.02.13 21:35|USDJPY.i|M5|152.754|153.341|154.588|155.302|152.578|152.273|150.071|0|0
73|2026.02.13 21:40|USDJPY.i|M5|152.736|153.343|154.595|155.311|152.574|152.262|150.061|0|0
74|2026.02.13 21:45|USDJPY.i|M5|152.763|153.346|154.603|155.320|152.571|152.251|150.051|0|0
75|2026.02.13 21:50|USDJPY.i|M5|152.770|153.349|154.610|155.329|152.567|152.239|150.041|0|0
76|2026.02.13 21:55|USDJPY.i|M5|152.777|153.351|154.618|155.338|152.564|152.228|150.031|0|0
77|2026.02.13 22:00|USDJPY.i|M5|152.801|153.354|154.626|155.347|152.560|152.216|150.021|0|0
78|2026.02.13 22:05|USDJPY.i|M5|152.812|153.357|154.633|155.356|152.557|152.205|150.011|0|0
79|2026.02.13 22:10|USDJPY.i|M5|152.786|153.360|154.641|155.365|152.553|152.193|150.001|0|0
80|2026.02.13 22:15|USDJPY.i|M5|152.814|153.362|154.648|155.374|152.550|152.182|149.991|0|0
81|2026.02.13 22:20|USDJPY.i|M5|152.787|153.365|154.656|155.383|152.546|152.171|149.981|0|0
82|2026.02.13 22:25|USDJPY.i|M5|152.730|153.368|154.663|155.392|152.542|152.159|149.971|0|0
83|2026.02.13 22:30|USDJPY.i|M5|152.728|153.370|154.671|155.401|152.539|152.148|149.961|0|0
84|2026.02.13 22:35|USDJPY.i|M5|152.729|153.373|154.678|155.410|152.535|152.136|149.951|0|0
85|2026.02.13 22:40|USDJPY.i|M5|152.746|153.376|154.686|155.419|152.532|152.125|149.941|0|0
86|2026.02.13 22:45|USDJPY.i|M5|152.742|153.378|154.694|155.428|152.528|152.114|149.931|0|0
87|2026.02.13 22:50|USDJPY.i|M5|152.706|153.381|154.701|155.437|152.525|152.102|149.921|0|0
88|2026.02.13 22:55|USDJPY.i|M5|152.757|153.384|154.709|155.446|152.521|152.091|149.911|0|0
89|2026.02.13 23:00|USDJPY.i|M5|152.649|153.386|154.716|155.455|152.518|152.079|149.901|0|0
90|2026.02.13 23:05|USDJPY.i|M5|152.648|153.389|154.724|155.464|152.514|152.068|149.891|0|0
91|2026.02.13 23:10|USDJPY.i|M5|152.676|153.392|154.731|155.473|152.511|152.056|149.881|0|0
92|2026.02.13 23:15|USDJPY.i|M5|152.642|153.394|154.739|155.482|152.507|152.045|149.871|0|0
93|2026.02.13 23:20|USDJPY.i|M5|152.645|153.397|154.746|155.491|152.503|152.034|149.861|0|0
94|2026.02.13 23:25|USDJPY.i|M5|152.650|153.400|154.754|155.500|152.500|152.022|149.851|0|0
95|2026.02.13 23:30|USDJPY.i|M5|152.700|153.403|154.762|155.509|152.496|152.011|149.841|0|0
96|2026.02.13 23:35|USDJPY.i|M5|152.722|153.405|154.769|155.518|152.493|151.999|149.831|0|0
97|2026.02.13 23:40|USDJPY.i|M5|152.692|153.408|154.777|155.527|152.489|151.988|149.821|0|0
98|2026.02.13 23:45|USDJPY.i|M5|152.727|153.411|154.784|155.536|152.486|151.977|149.811|0|0
99|2026.02.13 23:50|USDJPY.i|M5|152.712|153.413|154.792|155.545|152.482|151.965|149.801|0|0
100|2026.02.13 23:55|USDJPY.i|M5|152.688|153.416|154.799|155.554|152.479|151.954|149.791|0|0
