No	TimeStamp	Symbol	Timeframe	Close	ha_open	ha_high	ha_low	ha_close	ha_classification	ha_body_size	ha_body_zscore
0	2025.09.26 00:00	USDJPY.i	PERIOD_M5	149.765	149.776	149.776	149.765	149.765	3	0.011	-0.51200
1	2025.09.26 00:05	USDJPY.i	PERIOD_M5	149.764	149.770	149.770	149.764	149.764	3	0.006	-0.68605
2	2025.09.26 00:10	USDJPY.i	PERIOD_M5	149.764	149.767	149.778	149.764	149.768	0	0.000	-0.89303
3	2025.09.26 00:15	USDJPY.i	PERIOD_M5	149.764	149.767	149.767	149.764	149.764	3	0.003	-0.76790
4	2025.09.26 00:20	USDJPY.i	PERIOD_M5	149.759	149.766	149.766	149.752	149.760	3	0.006	-0.67549
5	2025.09.26 00:25	USDJPY.i	PERIOD_M5	149.759	149.763	149.775	149.759	149.763	0	0.000	-0.87582
6	2025.09.26 00:30	USDJPY.i	PERIOD_M5	149.760	149.763	149.804	149.716	149.760	3	0.003	-0.77244
7	2025.09.26 00:35	USDJPY.i	PERIOD_M5	149.764	149.761	149.770	149.757	149.763	0	0.001	-0.82865
8	2025.09.26 00:40	USDJPY.i	PERIOD_M5	149.759	149.762	149.772	149.750	149.761	3	0.001	-0.85144
9	2025.09.26 00:45	USDJPY.i	PERIOD_M5	149.774	149.762	149.779	149.750	149.766	0	0.004	-0.74369
10	2025.09.26 00:50	USDJPY.i	PERIOD_M5	149.779	149.764	149.780	149.750	149.771	0	0.007	-0.62867
11	2025.09.26 00:55	USDJPY.i	PERIOD_M5	149.767	149.767	149.781	149.751	149.769	0	0.002	-0.79739
12	2025.09.26 01:00	USDJPY.i	PERIOD_M5	149.774	149.768	149.780	149.743	149.766	3	0.002	-0.80375
13	2025.09.26 01:05	USDJPY.i	PERIOD_M5	149.794	149.767	149.807	149.759	149.783	0	0.016	-0.31728
14	2025.09.26 01:10	USDJPY.i	PERIOD_M5	149.779	149.775	149.797	149.773	149.786	0	0.010	-0.50660
15	2025.09.26 01:15	USDJPY.i	PERIOD_M5	149.736	149.781	149.781	149.730	149.755	3	0.025	-0.00040
16	2025.09.26 01:20	USDJPY.i	PERIOD_M5	149.764	149.768	149.768	149.745	149.756	3	0.012	-0.44744
17	2025.09.26 01:25	USDJPY.i	PERIOD_M5	149.749	149.762	149.770	149.737	149.755	3	0.007	-0.63631
18	2025.09.26 01:30	USDJPY.i	PERIOD_M5	149.771	149.758	149.777	149.749	149.761	0	0.003	-0.76833
19	2025.09.26 01:35	USDJPY.i	PERIOD_M5	149.789	149.760	149.803	149.760	149.784	0	0.024	-0.03555
20	2025.09.26 01:40	USDJPY.i	PERIOD_M5	149.769	149.772	149.797	149.767	149.781	0	0.009	-0.56873
21	2025.09.26 01:45	USDJPY.i	PERIOD_M5	149.757	149.776	149.783	149.747	149.764	3	0.012	-0.44308
22	2025.09.26 01:50	USDJPY.i	PERIOD_M5	149.747	149.770	149.770	149.728	149.749	3	0.021	-0.12664
23	2025.09.26 01:55	USDJPY.i	PERIOD_M5	149.738	149.759	149.760	149.726	149.743	3	0.016	-0.30211
24	2025.09.26 02:00	USDJPY.i	PERIOD_M5	149.760	149.751	149.771	149.734	149.750	3	0.001	-0.83255
25	2025.09.26 02:05	USDJPY.i	PERIOD_M5	149.741	149.751	149.770	149.740	149.754	0	0.003	-0.77370
26	2025.09.26 02:10	USDJPY.i	PERIOD_M5	149.809	149.752	149.817	149.733	149.775	0	0.023	-0.07574
27	2025.09.26 02:15	USDJPY.i	PERIOD_M5	149.884	149.764	149.892	149.764	149.847	1	0.084	2.02679
28	2025.09.26 02:20	USDJPY.i	PERIOD_M5	149.876	149.805	149.896	149.805	149.879	0	0.073	1.64399
29	2025.09.26 02:25	USDJPY.i	PERIOD_M5	149.887	149.842	149.900	149.842	149.879	0	0.037	0.38687
30	2025.09.26 02:30	USDJPY.i	PERIOD_M5	149.869	149.860	149.957	149.852	149.889	0	0.029	0.12040
