No|Timestamp|Symbol|Timeframe|Close|Peak_Line_1|Peak_Line_2|Peak_Line_3|Bottom_Line_1|Bottom_Line_2|Bottom_Line_3|High_Map|Low_Map
1|2026.02.13 15:40|USDJPY.i|M5|153.249|153.038|152.911|153.271|152.560|152.603|152.768|0.000|0.000
2|2026.02.13 15:45|USDJPY.i|M5|153.196|153.036|152.911|153.269|152.561|152.603|152.770|0.000|0.000
3|2026.02.13 15:50|USDJPY.i|M5|153.050|153.033|152.910|153.268|152.562|152.602|152.771|0.000|0.000
4|2026.02.13 15:55|USDJPY.i|M5|153.067|153.031|152.910|153.266|152.562|152.602|152.773|0.000|0.000
5|2026.02.13 16:00|USDJPY.i|M5|153.042|153.029|152.910|153.264|152.563|152.602|152.774|0.000|0.000
6|2026.02.13 16:05|USDJPY.i|M5|153.050|153.026|152.909|153.263|152.564|152.602|152.776|0.000|0.000
7|2026.02.13 16:10|USDJPY.i|M5|153.033|153.024|152.909|153.261|152.565|152.602|152.778|0.000|0.000
8|2026.02.13 16:15|USDJPY.i|M5|152.999|153.021|152.908|153.259|152.565|152.601|152.779|0.000|0.000
9|2026.02.13 16:20|USDJPY.i|M5|152.999|153.019|152.908|153.258|152.566|152.601|152.781|0.000|0.000
10|2026.02.13 16:25|USDJPY.i|M5|152.897|153.016|152.908|153.256|152.567|152.601|152.782|0.000|0.000
11|2026.02.13 16:30|USDJPY.i|M5|152.910|153.014|152.907|153.255|152.568|152.601|152.784|0.000|0.000
12|2026.02.13 16:35|USDJPY.i|M5|152.877|153.012|152.907|153.253|152.569|152.600|152.785|0.000|0.000
13|2026.02.13 16:40|USDJPY.i|M5|152.966|153.009|152.907|153.251|152.569|152.600|152.787|0.000|152.787
14|2026.02.13 16:45|USDJPY.i|M5|153.020|153.007|152.906|153.250|152.570|152.600|152.789|0.000|0.000
15|2026.02.13 16:50|USDJPY.i|M5|153.049|153.004|152.906|153.248|152.571|152.600|152.790|0.000|0.000
16|2026.02.13 16:55|USDJPY.i|M5|153.045|153.002|152.905|153.246|152.572|152.599|152.792|0.000|0.000
