No|Timestamp|Symbol|Timeframe|Close|Peak_Line_1|Peak_Line_2|Peak_Line_3|Bottom_Line_1|Bottom_Line_2|Bottom_Line_3|High_Map|Low_Map
1|2025.09.29 08:00|XAUUSD|M5|3808.18|||||||0.00|0.00
2|2025.09.29 08:05|XAUUSD|M5|3805.32|||||||0.00|0.00
3|2025.09.29 08:10|XAUUSD|M5|3806.44|||||||0.00|0.00
4|2025.09.29 08:15|XAUUSD|M5|3804.67|||||||0.00|0.00
5|2025.09.29 08:20|XAUUSD|M5|3806.45|||||||0.00|0.00
6|2025.09.29 08:25|XAUUSD|M5|3805.38|||||||0.00|0.00
7|2025.09.29 08:30|XAUUSD|M5|3804.37|||||||0.00|0.00
8|2025.09.29 08:35|XAUUSD|M5|3805.26|||||||0.00|0.00
9|2025.09.29 08:40|XAUUSD|M5|3803.84|||||||0.00|0.00
10|2025.09.29 08:45|XAUUSD|M5|3805.94|||||||0.00|0.00
11|2025.09.29 08:50|XAUUSD|M5|3811.22|||||||0.00|0.00
12|2025.09.29 08:55|XAUUSD|M5|3813.73|||||||0.00|0.00
13|2025.09.29 09:00|XAUUSD|M5|3813.58|||||||0.00|0.00
14|2025.09.29 09:05|XAUUSD|M5|3812.37|||||||0.00|0.00
15|2025.09.29 09:10|XAUUSD|M5|3816.86|||||||0.00|0.00
16|2025.09.29 09:15|XAUUSD|M5|3814.20|||||||0.00|0.00
17|2025.09.29 09:20|XAUUSD|M5|3815.35|||||||0.00|0.00
18|2025.09.29 09:25|XAUUSD|M5|3812.71|||||||0.00|0.00
19|2025.09.29 09:30|XAUUSD|M5|3814.22|||||||0.00|0.00
20|2025.09.29 09:35|XAUUSD|M5|3815.57|||||||0.00|0.00
21|2025.09.29 09:40|XAUUSD|M5|3819.01|||||||3819.81|0.00
22|2025.09.29 09:45|XAUUSD|M5|3814.71|||||||0.00|0.00
23|2025.09.29 09:50|XAUUSD|M5|3815.22|||||||0.00|0.00
24|2025.09.29 09:55|XAUUSD|M5|3817.37|||||||0.00|0.00
25|2025.09.29 10:00|XAUUSD|M5|3816.00|||||||0.00|0.00
26|2025.09.29 10:05|XAUUSD|M5|3815.12|||||||0.00|0.00
27|2025.09.29 10:10|XAUUSD|M5|3817.28|||||||0.00|0.00
28|2025.09.29 10:15|XAUUSD|M5|3816.85|||||||0.00|0.00
29|2025.09.29 10:20|XAUUSD|M5|3815.04|||||||0.00|0.00
30|2025.09.29 10:25|XAUUSD|M5|3814.29|||||||0.00|0.00
31|2025.09.29 10:30|XAUUSD|M5|3810.45|||||||0.00|0.00
32|2025.09.29 10:35|XAUUSD|M5|3810.17|||||||0.00|0.00
33|2025.09.29 10:40|XAUUSD|M5|3810.59|||||||0.00|0.00
34|2025.09.29 10:45|XAUUSD|M5|3806.87|||||||0.00|0.00
35|2025.09.29 10:50|XAUUSD|M5|3805.18|||||||0.00|3804.99
36|2025.09.29 10:55|XAUUSD|M5|3806.25|||||||0.00|0.00
37|2025.09.29 11:00|XAUUSD|M5|3810.75|||||||0.00|0.00
38|2025.09.29 11:05|XAUUSD|M5|3813.64|||||||0.00|0.00
39|2025.09.29 11:10|XAUUSD|M5|3815.94|||||||0.00|0.00
40|2025.09.29 11:15|XAUUSD|M5|3813.28|||||||0.00|0.00
41|2025.09.29 11:20|XAUUSD|M5|3811.35|||||||0.00|0.00
42|2025.09.29 11:25|XAUUSD|M5|3811.48|||||||0.00|0.00
43|2025.09.29 11:30|XAUUSD|M5|3814.65|||||||0.00|0.00
44|2025.09.29 11:35|XAUUSD|M5|3814.80|||||||0.00|0.00
